Title,Address,State,Original
Denver Denver Labor Bulletin,"1240 Pennsylvania St., Denver",Colorado,"Denver Denver Labor Bulletin, 1240 Pennsylvania St., Denver"
The Union Times,"137 Goffe St., New Haven",Connecticut,"The Union Times, 137 Goffe St., New Haven"
CIO Connecticut Vanguard,"95 Bank St., Waterbury",Connecticut,"CIO Connecticut Vanguard, 95 Bank St., Waterbury"
Wilmington Labor Herald,"415 Shipley St., Wilmington",Delaware,"Wilmington Labor Herald, 415 Shipley St., Wilmington"
The American Federationist,A.F. of L. Bldg.,"Washington, D. C.","The American Federationist, A.F. of L. Bldg."
American Marine Engineer (CIO),315 Machinist Bldg.,"Washington, D. C.","American Marine Engineer (CIO), 315 Machinist Bldg."
Asbestos Worker,Machinists Bldg.,"Washington, D. C.","Asbestos Worker, Machinists Bldg."
Bricklayer,"Mason & Plasterer, 815 15 St., N.W.","Washington, D. C.","Bricklayer, Mason & Plasterer, 815 15 St., N.W."
Cigar Makers Journal,"Carpenters Bldg., 10th & K Sts., N.W.","Washington, D. C.","Cigar Makers Journal, Carpenters Bldg., 10th & K Sts., N.W."
CIO News (National Edition),"718 Jackson Place, N.W. Commercial Telegraphers Journal, 5913 Georgia Ave.","Washington, D. C.","CIO News (National Edition), 718 Jackson Place, N.W. Commercial Telegraphers Journal, 5913 Georgia Ave."
Electrical Workers Journal,1200 15 St.,"Washington, D. C.","Electrical Workers Journal, 1200 15 St."
Federal Employee,"10 Independence Ave., S.E.","Washington, D. C.","Federal Employee, 10 Independence Ave., S.E."
Federal Record (UFWA-CIO),"930 F St., N.W.","Washington, D. C.","Federal Record (UFWA-CIO), 930 F St., N.W."
Government Standard,"900 F St., N.W.","Washington, D. C.","Government Standard, 900 F St., N.W."
The International Bookbinder,"Room 301, A.F. of L. Bldg. International Engineer, 1003 K St., N.W.","Washington, D. C.","The International Bookbinder, Room 301, A.F. of L. Bldg. International Engineer, 1003 K St., N.W."
International Fire Fighter,"Room 207, A.F. of L. Bldg.","Washington, D. C.","International Fire Fighter, Room 207, A.F. of L. Bldg."
International Labor Review,"734 Jackson Place Labor, 10 Independence Ave., S.W.","Washington, D. C.","International Labor Review, 734 Jackson Place Labor, 10 Independence Ave., S.W."
Machinists Journal,"Rm. 406, Machinists Bldg.","Washington, D. C.","Machinists Journal, Rm. 406, Machinists Bldg."
Master,"Mate & Pilot, 810 Rhode Island Ave., N.E.","Washington, D. C.","Master, Mate & Pilot, 810 Rhode Island Ave., N.E."
National Rural Letter Carrier,541 Munsey Bldg.,"Washington, D. C.","National Rural Letter Carrier, 541 Munsey Bldg."
The Office Worker,827 14 St.,"Washington, D. C.","The Office Worker, 827 14 St."
Pattern Makers' Journal,311 Machinists Bldg.,"Washington, D. C.","Pattern Makers' Journal, 311 Machinists Bldg."
Plate Printer,414 Washington Loan & Trust Bldg.,"Washington, D. C.","Plate Printer, 414 Washington Loan & Trust Bldg."
Plumbers Journal,Machinists Bldg.,"Washington, D. C.","Plumbers Journal, Machinists Bldg."
Postal Record,A.F. of L. Bldg.,"Washington, D. C.","Postal Record, A.F. of L. Bldg."
Postmasters Advocate,"1110 F St., N.W., Rm. 62 Radio & Electrical Union News, 1200 15 St., N.W.","Washington, D. C.","Postmasters Advocate, 1110 F St., N.W., Rm. 62 Radio & Electrical Union News, 1200 15 St., N.W."
Railway Post Office,508 A.F.L. Bldg.,"Washington, D. C.","Railway Post Office, 508 A.F.L. Bldg."
Shoe Workers Edition CIO News,"917 15th St., N.W.","Washington, D. C.","Shoe Workers Edition CIO News, 917 15th St., N.W."
Special Messenger,"301 First St., S.E.","Washington, D. C.","Special Messenger, 301 First St., S.E."
The Trades Unionist,"720 Fifth St., N.W.","Washington, D. C.","The Trades Unionist, 720 Fifth St., N.W."
UAW-CIO News Flash,"1129 Vermont Ave., N.W.","Washington, D. C.","UAW-CIO News Flash, 1129 Vermont Ave., N.W."
Union Postal Clerk,600-619 Bond Bldg.,"Washington, D. C.","Union Postal Clerk, 600-619 Bond Bldg."
United Mine Workers Journal,United Mine Workers Bldg.,"Washington, D. C.","United Mine Workers Journal, United Mine Workers Bldg."
Victory (CIO),"718 Jackson Place, N.W.","Washington, D. C.","Victory (CIO), 718 Jackson Place, N.W."
Union Labor News,"138 Magnolia Ave., Daytona Beach",Florida,"Union Labor News, 138 Magnolia Ave., Daytona Beach"
Miami Citizen,"P.O. Box 828, Miami",Florida,"Miami Citizen, P.O. Box 828, Miami"
Pensacola News,Pensacola,Florida,"Pensacola News, Pensacola"
Florida Labor Advocate,"P.O. Box 1904, 212 S. Franklin St., Tampa",Florida,"Florida Labor Advocate, P.O. Box 1904, 212 S. Franklin St., Tampa"
Union Labor News,"Box 735, West Palm Beach",Florida,"Union Labor News, Box 735, West Palm Beach"
The Atlanta News Digest (CIO),"75 Ivy St., N.E., Atlanta",Georgia,"The Atlanta News Digest (CIO), 75 Ivy St., N.E., Atlanta"
Journal of Labor,"Peters Bldg., Atlanta",Georgia,"Journal of Labor, Peters Bldg., Atlanta"
Southern Teamster,"203 Spring St., N.W., Atlanta",Georgia,"Southern Teamster, 203 Spring St., N.W., Atlanta"
Labor Review,"24 Campbell Bldg., Augusta",Georgia,"Labor Review, 24 Campbell Bldg., Augusta"
Georgia Federationist,"Labor Temple, 34 Drayton St., Savannah",Georgia,"Georgia Federationist, Labor Temple, 34 Drayton St., Savannah"
Idaho Labor News,"P.O. Box 170, Pocatello",Idaho,"Idaho Labor News, P.O. Box 170, Pocatello"
The Fox Valley Labor News,"220 Fox St., Aurora",Illinois,"The Fox Valley Labor News, 220 Fox St., Aurora"
